order_date,order_qty,customer_id,product_category_id,cost_per_unit,price_per_unit
2019-12-11,4532,1,3,756.8327860226977,761.1627860226977
2019-10-06,1638,3,1,634.4482280549901,707.4482280549901
2018-05-25,3001,3,3,544.0469908976758,646.3169908976757
2020-05-28,4846,2,1,1003.4712684018123,1045.401268401812
2019-04-24,3035,1,3,564.2120493167922,658.0420493167923
2020-01-04,4354,3,2,781.8039773182317,792.6539773182316
2019-12-04,2067,3,3,727.9809437325622,772.8809437325622
2019-08-30,1951,2,3,641.1580809652487,739.4080809652487
2017-02-12,514,1,2,456.10079423648676,613.1307942364867
2017-09-03,661,1,3,508.5701062220557,620.1101062220557
2020-02-23,1991,2,1,757.4434993529867,875.0934993529866
2021-03-02,1344,2,3,2472.4174972355227,2549.3374972355227
2020-11-19,3928,1,2,1622.9550772540422,1794.0050772540421
2018-03-06,1560,3,2,519.2921763793923,600.4321763793923
2020-09-09,599,1,1,1310.2404349023714,1458.4104349023714
2017-07-31,3104,3,1,498.4260044444047,612.4360044444048
2019-02-27,738,1,1,516.260109842541,677.660109842541
2020-08-25,2704,1,2,1280.5049548129853,1328.2149548129853
2018-05-10,4724,2,3,512.4032854377294,618.7332854377295
2017-04-15,746,3,2,484.48317634374996,571.58317634375
2019-12-04,911,1,3,706.5709437325622,819.8209437325622
2019-08-12,4329,3,1,628.435464698914,752.9654646989139
2021-03-17,4402,1,2,2602.75321653877,2696.9732165387704
2020-11-08,2246,3,2,1636.364212075844,1670.374212075844
2018-11-09,558,1,3,534.909553220487,620.3795532204871
2020-06-22,895,1,2,1012.3152151635984,1194.5452151635982
2018-06-04,2254,3,2,536.1681342675771,641.968134267577
2020-03-19,1111,2,2,853.2707006478147,906.0007006478147
2017-09-05,3045,3,2,476.4837912869318,615.4237912869318
2017-10-18,2099,2,1,485.7655789075227,627.5555789075227
2020-03-23,4234,3,1,833.4108749411688,917.9808749411688
2019-08-23,2385,3,3,634.7894505209067,681.2194505209068
2017-01-25,3371,3,2,455.555972155348,584.515972155348
2021-04-12,3538,3,2,2887.596256597105,2964.2762565971047
2020-04-27,1802,1,3,942.0275713028379,1051.127571302838
2017-12-29,3149,1,3,500.812575212263,649.602575212263
2019-07-10,1410,2,1,608.9743770885534,655.3743770885534
